Animal,Icon URL,Display Name,Group,Password,Initial Test Score,Final Test Score
Bear,https://cdn-icons-png.flaticon.com/512/3940/3940403.png,Brave B,Control,Bear123,,
Cat,https://cdn-icons-png.flaticon.com/512/4322/4322991.png,Cool C,App ,Cat123,,
Bunny,https://cdn-icons-png.flaticon.com/512/3940/3940417.png,Brilliant B,App with Leaderboard,Bunny123,,
Panda,https://cdn-icons-png.flaticon.com/512/3940/3940446.png,Perfect P,Control,Panda123,,
Dog,https://cdn-icons-png.flaticon.com/512/4322/4322992.png,Doggy D,App ,Dog123,,
Koala,https://cdn-icons-png.flaticon.com/512/1326/1326382.png,King K,App with Leaderboard,Koala123,,
Sloth,https://cdn-icons-png.flaticon.com/512/3940/3940405.png,Super S,Control,Sloth123,,
Snake,https://cdn-icons-png.flaticon.com/512/1326/1326393.png,Shiny S,App ,Snake123,,
Llama ,https://cdn-icons-png.flaticon.com/512/3940/3940412.png,Lovely L,App with Leaderboard,Llama 123,,
Penguin,https://cdn-icons-png.flaticon.com/512/3940/3940401.png,Peppy P,Control,Penguin123,,
Cow,https://cdn-icons-png.flaticon.com/512/2523/2523618.png,Clever C,App ,Cow123,,
Wolf,https://cdn-icons-png.flaticon.com/512/4775/4775537.png,Witty W,App with Leaderboard,Wolf123,,
Lion,https://cdn-icons-png.flaticon.com/512/1760/1760998.png,Loyal L,Control,Lion123,,
Bullfinch,https://cdn-icons-png.flaticon.com/512/3500/3500570.png,Bright B,App ,Bullfinch123,,
Kangaroo,https://cdn-icons-png.flaticon.com/512/4775/4775560.png,Calm K,App with Leaderboard,Kangaroo123,,
Beaver,https://cdn-icons-png.flaticon.com/512/3940/3940434.png,Boppy B,Control,Beaver123,,
Duck,https://cdn-icons-png.flaticon.com/512/414/414696.png,Dancy D,App ,Duck123,,
Raccoon,https://cdn-icons-png.flaticon.com/512/4775/4775548.png,Reliable R,App with Leaderboard,Raccoon123,,
Shark,https://cdn-icons-png.flaticon.com/512/4775/4775729.png,Sociable S,Control,Shark123,,
Bat,https://cdn-icons-png.flaticon.com/512/3940/3940409.png,Balanced B,App ,Bat123,,
Ladybug,https://cdn-icons-png.flaticon.com/512/4775/4775653.png,Likeable L,App with Leaderboard,Ladybug123,,
Monkey,https://cdn-icons-png.flaticon.com/512/4805/4805871.png,Marvellous M,Control,Monkey123,,
Hedgehog,https://cdn-icons-png.flaticon.com/512/3940/3940423.png,Helpful H,App ,Hedgehog123,,
Goat,https://cdn-icons-png.flaticon.com/512/414/414679.png,Good G,App with Leaderboard,Goat123,,
Pig,https://cdn-icons-png.flaticon.com/512/4775/4775529.png,Pioneering P,Control,Pig123,,
Turtle,https://cdn-icons-png.flaticon.com/512/9708/9708789.png,Tough T,App ,Turtle123,,
Octopus,https://cdn-icons-png.flaticon.com/512/3940/3940449.png,Optimistic O,App with Leaderboard,Octopus123,,
Fox,https://cdn-icons-png.flaticon.com/512/4775/4775692.png,Fearless F,Control,Fox123,,
Parrot,https://cdn-icons-png.flaticon.com/512/3940/3940400.png,Passionate P,App ,Parrot123,,
Tiger,https://cdn-icons-png.flaticon.com/512/3558/3558255.png,Terrific T,App with Leaderboard,Tiger123,,
Deer,https://cdn-icons-png.flaticon.com/512/9049/9049760.png,Diligent D,Control,Deer123,,
Giraffe,https://cdn-icons-png.flaticon.com/512/1810/1810917.png,Generous G,App ,Giraffe123,,
Elephant,https://cdn-icons-png.flaticon.com/512/9675/9675824.png,Enthusiastic E,App with Leaderboard,Elephant123,,
Weasel,https://cdn-icons-png.flaticon.com/512/1326/1326388.png,Wise W,Control,Weasel123,,
Meerkat,https://cdn-icons-png.flaticon.com/512/1326/1326390.png,Miraculous M,App ,Meerkat123,,
Mouse,https://cdn-icons-png.flaticon.com/512/3558/3558257.png,Magnificant M,App with Leaderboard,Mouse123,,
Ostrich,https://cdn-icons-png.flaticon.com/512/3940/3940430.png,Opulant O,Control,Ostrich123,,
Chameleon,https://cdn-icons-png.flaticon.com/512/3940/3940427.png,Charasmatic C,App ,Chameleon123,,
